브랜드,상호,창업비용
베스트키즈,(주)서울랜드,"590,026
(2.07)"
키즈카페 키즈몬,(주)케이앤엠파트너스,"534,650
(1.87)"
원더볼즈 플레이파크,(주)원더브라더스(WonderBrothers),"462,000
(1.62)"
노리 디지털키즈카페,(주)크리스피,"434,550
(1.52)"
짐보리플레이앤뮤직,(주)짐월드,"419,000
(1.47)"
위즈아일랜드,(주)교원위즈,"404,150
(1.42)"
키즈스포츠클럽챔피언,(주)플레이타임그룹,"401,100
(1.41)"
스위밍 키즈,유한회사스위밍키즈,"401,000
(1.41)"
쁘띠몽드(PETITMONDE),아이조은(주),"399,300
(1.40)"
베베궁,(주)베베궁,"377,400
(1.32)"
키&주파크,(주)플루션,"373,700
(1.31)"
시크릿쥬쥬&또봇 프리미엄키즈카페,(주)열린사람들,"357,500
(1.25)"
콩순이키즈카페,(주)열린사람들,"357,500
(1.25)"
미니특공대테마파크,(주)큐브스튜디오,"342,000
(1.20)"
모넬로(MONELLO),(주)다담에프엔에스,"316,700
(1.11)"
베라키즈,(주)베라,"275,000
(0.96)"
상상노리,(주)플레이타임그룹,"260,600
(0.91)"
슈슈봉봉,(주)슈슈봉봉프렌즈,"257,500
(0.90)"
헬로밀가루,헬로밀가루본사,"243,626
(0.85)"
The Swan(더스완),더스완(Theswan),"235,100
(0.82)"
애플트리,(주)플레이타임그룹,"220,600
(0.77)"
플레이타임,(주)플레이타임그룹,"220,600
(0.77)"
구름빵 플레이타임,(주)플레이타임그룹,"220,600
(0.77)"
키즈사이언스,(주)플레이타임그룹,"220,600
(0.77)"
삐삐하우스,(주)다솔코리아,"208,790
(0.73)"
프레리 키즈카페,(주)루치아컴퍼니,"206,300
(0.72)"
해피타임,(주)플레이타임그룹,"188,600
(0.66)"
베이비엔젤스,(주)플레이타임그룹,"173,010
(0.61)"
똑똑블럭,(주)플레이타임그룹,"132,475
(0.46)"
큐리프리미엄키즈카페,(주)케이아이피엔터테인먼트,"131,104
(0.46)"
렌쥴리위즈,(주)렌쥴리에듀테인먼트,"130,900
(0.46)"
상상스케치,(주)플레이타임그룹,"125,975
(0.44)"
블럭앤퍼즐애플,(주)플레이타임그룹,"122,475
(0.43)"
상상블럭,(주)플레이타임그룹,"115,475
(0.40)"
블럭버스,(주)다솔코리아,"115,450
(0.40)"
영재들의오후학교,(주)임서영영재교육연구소,"105,600
(0.37)"
더가루,더가루,"104,500
(0.37)"
미술로생각하기,(주)빅토미술로생각하기,"99,300
(0.35)"
트램폴린놀이방노리파크(NORIPARK),(주)다담에프엔에스,"79,200
(0.28)"
렘포레(Lamfore),렘포레인재개발연구소,"76,780
(0.27)"
바퀴달린그림책,(주)바퀴달린그림책,"76,670
(0.27)"
차일드유,(주)유베스타,"75,300
(0.26)"
