업종(대),업종(중),브랜드,상호,가맹사업 개시일,가맹사업 년수
,,필랜드 예술원,필랜드에듀(주),2018-12-27,2년  0개월
,,우지은더블유스피치,(주)더블유스피치커뮤니케이션,--,0년  0개월
,,비끄아트,(주)비끄아트연구소,--,0년  0개월
,,책먹는미술관,책먹는미술관미술학원,--,0년  0개월
,,마리뮤직홈스쿨,마리뮤직홈스쿨,2020-03-02,0년  9개월
,,힐링리듬댄스,힐링리듬댄스진흥원,--,0년  0개월
,,석세스뮤직(SUCCESS MUSIC),(주)에듀석세스,--,0년  0개월
,,난공불락스파르타,(주)위메스,--,0년  0개월
,교육외_유아,평균,-,-,8년  1개월
,,꼬마숲 어린이집,(주)꼬망세네트웍스,2009-11-01,11년  1개월
,,미술로생각하기,(주)빅토미술로생각하기,2003-02-01,17년  10개월
,,차일드유,(주)유베스타,2001-04-30,19년  8개월
,,트램폴린놀이방노리파크(NORIPARK),(주)다담에프엔에스,2013-06-06,7년  6개월
,,블럭팡,(주)더캠트사업본부,2016-07-06,4년  5개월
,,바퀴달린그림책,(주)바퀴달린그림책,2008-08-06,12년  4개월
